new_plant,first_ratoon,second_ratoon,third_ratoon,soil,variety,fresh_cane_yield,burnt_cane_yield,Sweet
0,21,272,316,black_clay,K84-200,473.45,26490,Low
0,0,200,200,black_clay,K84-200,1079.98,48550,Medium
32,0,272,0,black_clay,LK11,504.48,37930,Medium
0,0,80,0,loam,K84-200,255.25,37580,Low
0,0,0,200,black_clay,LK11,193.41,31850,Medium
0,30,280,0,black_clay,K84-200,505.44,32520,Low
0,10,0,0,clay,K84-200,154.06,90820,Medium
0,0,40,0,black_clay,K84-200,303.5,99180,Medium
50,50,0,232,black_clay,K84-200,341,95160,Medium
0,30,80,100,black_clay,LK11,219.11,77430,Low
46,0,0,0,sandy,LK11,295.68,27510,High
0,20,0,0,black_clay,K84-200,153.98,55080,High
0,0,0,400,black_clay,K84-200,832.53,45040,Medium
0,10,0,0,black_clay,K84-200,884.52,36790,High
0,10,0,0,sandy,K84-200,100.21,87830,Medium
0,0,400,0,black_clay,K84-200,159.92,45280,Low
0,0,120,0,black_clay,K84-200,138.74,97870,Medium
0,0,0,204,loam,K84-200,149.18,90740,Medium
0,0,108,112,black_clay,K84-200,187.37,21770,Medium
0,39,0,296,black_clay,K84-200,1132.63,54650,Medium
0,100,0,0,loam,K84-200,527.71,40220,Medium
0,50,0,0,red_loam,K84-200,650.55,36850,Medium
0,50,80,148,black_clay,K84-200,196.96,27710,Medium
0,0,0,200,black_clay,K84-200,446.73,80240,Low
0,40,0,0,sandy,LK11,156.48,86130,High
220,0,0,0,black_clay,K84-200,796.65,37610,High
0,0,0,40,black_clay,K84-200,191.6,46660,Low
0,0,200,400,black_clay,K84-200,1509.58,84780,Medium
0,0,0,40,black_clay,K84-200,105.64,85520,Medium
0,0,40,0,sandy,K84-200,954.7,91600,Medium
0,0,40,0,black_clay,K84-200,213.16,97370,High
0,0,40,0,black_clay,K84-200,153.24,44030,Low
0,10,0,0,clay,K84-200,474.97,68840,Medium
0,0,80,0,clay,K84-200,1979.13,40010,Low
0,0,40,0,clay,K84-200,156.44,28380,Low
0,0,0,40,clay,K84-200,103.11,96420,Medium
0,0,1000,0,clay,K84-200,268.06,49600,Low
10,20,0,0,clay,K84-200,145.68,97450,High
30,0,0,0,black_clay,K84-200,103.13,96040,High
77,21,0,0,loam,K84-200,179.73,62380,High
0,20,200,0,black_clay,K84-200,284.73,84030,High
0,0,0,160,black_clay,K84-200,202.44,88630,High
20,0,200,0,black_clay,K84-200,589.94,22470,Medium
0,0,0,160,black_clay,K84-200,368.48,85330,Medium
0,0,204,760,black_clay,K84-200,361.05,67000,Low
0,0,0,352,clay,K84-200,158.42,21320,Low
0,0,200,0,black_clay,K84-200,334.31,81030,High
0,0,0,952,black_clay,K84-200,583.4,20320,High
0,0,40,0,black_clay,K84-200,103.21,60600,High
0,15,0,276,black_clay,K84-200,596.84,66530,Medium
0,0,40,0,red_clay,K84-200,396.72,61420,High
0,14,0,0,black_clay,K84-200,237.89,43060,High
6,55,0,0,black_clay,K84-200,219.35,88080,High
0,10,0,0,black_clay,K84-200,138.63,23360,High
0,0,0,200,black_clay,K84-200,233.17,53250,High
0,0,0,200,red_loam,LK11,240.72,91660,High
100,0,0,0,red_loam,LK11,130.67,54460,High
0,180,0,80,black_clay,K84-200,682.72,81660,Medium
0,0,40,0,black_clay,K84-200,108.97,59170,High
0,50,200,0,red_clay,K84-200,639.14,96380,High
0,0,200,0,black_clay,K84-200,132.35,24630,Medium
43,41,0,240,black_clay,K84-200,254.5,50790,Low
19,0,0,0,black_clay,K84-200,168.96,39950,Medium
0,0,0,200,black_clay,LK11,219.33,23870,Medium
0,0,144,0,clay,K84-200,157.13,57690,High
45,0,0,0,black_clay,LK11,475.2,94960,High
0,45,0,0,black_clay,K84-200,107.37,38010,Medium
0,0,0,80,black_clay,K84-200,344.58,78000,High
17,0,112,144,black_clay,K84-200,544.28,99270,Medium
15,0,60,0,black_clay,K84-200,226.9,40690,Low
0,21,0,0,loam,LK11,148.53,66020,High
27,0,0,0,black_clay,K84-200,370.64,28970,High
15,139,0,232,black_clay,K84-200,905.72,92680,Medium
0,14,64,0,black_clay,K84-200,379.89,89050,Medium
27,61,552,0,black_clay,K84-200,794.24,58640,Medium
0,45,168,248,black_clay,K84-200,368.83,63140,High
135,0,0,0,black_clay,K84-200,439.76,86090,Low
0,10,0,0,clay,K84-200,191.62,92430,High
17,53,284,0,red_clay,LK11,693.82,93200,High
10,0,0,0,clay,K84-200,541.53,22740,Medium
